Year,MinJan,MaxJan,PrecipJan,MinFeb,MaxFeb,PrecipFeb,MinMar,MaxMar,PrecipMar,MinApr,MaxApr,PrecipApr,MinMay,MaxMay,PrecipMay,MinJun,MaxJun,PrecipJun,MinJul,MaxJul,PrecipJul,MinAug,MaxAug,PrecipAug,MinSep,MaxSep,PrecipSep,MinOct,MaxOct,PrecipOct,MinNov,MaxNov,PrecipNov,MinDec,MaxDec,PrecipDec,MaxSnowDepth_cm
1962,-64.8,26.2,4.1148,-60.8,27.2,10.1854,-41.8,26.2,4.0894,-24.8,45.2,3.3528,-4.8,38.2,7.2898,3.2,57.2,5.969,11.2,57.2,7.0612,7.2,60.2,7.0358,-1.8,54.2,3.1496,-1.8,48.2,1.6256,-20.8,38.2,4.4196,-44.8,27.2,1.7526,152
1963,-67.8,19.2,3.4036,-37.8,31.2,3.6322,-41.8,31.2,1.8288,-23.8,35.2,6.9342,3.2,47.2,5.715,7.2,52.2,7.1628,10.2,63.2,2.7178,9.2,61.2,3.048,7.2,58.2,7.1628,-10.8,54.2,2.8956,-17.8,28.2,3.8354,-38.8,24.2,2.5654,76
1964,-44.8,23.2,5.715,-48.8,12.2,1.905,-43.8,35.2,3.6068,-22.8,38.2,2.9972,-5.8,48.2,5.6896,6.2,52.2,12.573,13.2,63.2,2.2606,9.2,62.2,2.7178,-0.8,51.2,0.7112,-12.8,50.2,3.2766,-30.8,18.2,4.1656,-55.8,20.2,11.7856,114
1965,-44.8,13.2,10.16,-61.8,18.2,1.9558,-59.8,27.2,1.4732,-17.8,32.2,6.6548,-4.8,41.2,4.826,7.2,50.2,5.0546,11.2,59.2,2.0574,0,0,0,-10.8,47.2,5.5626,-0.8,46.2,2.1336,-20.8,38.2,3.9116,-32.8,24.2,4.4958,163
1966,-46.8,17.2,3.0734,-42.8,16.2,2.3368,-50.8,37.2,3.3274,-32.8,34.2,3.2258,-5.8,53.2,4.699,5.2,54.2,5.2832,15.2,65.2,0.9398,10.2,63.2,2.6162,4.2,61.2,10.1346,-7.8,42.2,1.7272,-24.8,33.2,4.2164,-37.8,18.2,5.461,107
1967,-45.8,20.2,9.2202,-42.8,21.2,3.683,-46.8,37.2,5.4102,-18.8,29.2,3.4036,-19.8,49.2,2.9972,7.2,54.2,6.9088,16.2,60.2,5.8166,14.2,61.2,2.5908,5.2,55.2,3.5814,-6.8,40.2,8.3058,-31.8,31.2,3.048,-45.8,18.2,4.318,170
1968,-43.8,21.2,4.826,-37.8,27.2,2.3622,-33.8,31.2,2.032,-25.8,39.2,2.4384,-6.8,48.2,2.6162,8.2,56.2,2.54,9.2,61.2,1.9812,11.2,60.2,12.7,0,0,0,0,0,0,-26.8,25.2,2.6416,-53.8,22.2,3.8608,94
1969,-43.8,18.2,14.2748,-37.8,22.2,2.2606,-43.8,29.2,1.2192,-9.8,44.2,1.5748,-0.8,53.2,1.3208,8.2,56.2,16.1544,11.2,60.2,3.5814,10.2,73.2,1.2954,5.2,58.2,4.2164,-11.8,37.2,1.2954,-27.8,34.2,1.4224,-36.8,23.2,3.6322,165
1970,-54.8,22.2,5.6134,-32.8,22.2,2.0574,-39.8,22.2,5.9944,-30.8,32.2,5.08,-16.8,51.2,4.8768,15.2,57.2,0.6096,10.2,67.2,5.2578,12.2,67.2,2.4638,0,0,0,0,0,0,-28.8,24.2,7.0866,-41.8,18.2,8.2296,117
1971,-54.8,23.2,7.7978,-48.8,23.2,4.2672,-50.8,27.2,6.7056,-34.8,36.2,3.7846,-2.8,52.2,2.3876,0,0,0,7.2,62.2,2.6416,9.2,66.2,2.5654,-5.8,53.2,4.4196,0,0,0,-23.8,32.2,3.429,-41.8,17.2,6.7818,147
1972,-58.8,16.2,5.2324,-59.8,22.2,4.7752,-39.8,35.2,3.1242,-26.8,35.2,2.54,-17.8,47.2,2.5908,7.2,56.2,5.08,4.2,62.2,2.6924,9.2,65.2,4.9276,-9.8,52.2,8.9916,-27.8,41.2,4.1148,-35.8,23.2,2.7178,-55.8,17.2,2.8194,124
1973,-56.8,20.2,3.048,-47.8,22.2,1.9812,-36.8,26.2,2.6924,-27.8,33.2,2.3622,-13.8,51.2,2.2098,1.2,59.2,3.0988,5.2,62.2,2.286,9.2,62.2,3.6068,5.2,56.2,4.9784,-5.8,46.2,2.4638,-25.8,32.2,7.2644,-34.8,23.2,4.3434,94
1974,-57.8,26.2,4.953,-45.8,20.2,2.54,-54.8,27.2,10.3124,0,39.2,1.6256,-10.8,42.2,4.1402,0.2,62.2,2.1082,11.2,64.2,1.5494,6.2,60.2,2.8194,0.2,56.2,0.5842,-8.8,47.2,3.4544,-20.8,29.2,2.0828,-45.8,21.2,4.0386,160
1975,-59.8,17.2,5.6896,-52.8,20.2,3.683,-44.8,28.2,4.5466,-43.8,28.2,3.4544,-15.8,43.2,4.6482,2.2,54.2,5.5626,11.2,64.2,6.7564,3.2,61.2,3.0734,0.2,56.2,1.524,-24.8,48.2,13.6652,-44.8,33.2,3.4036,-41.8,27.2,5.334,124
1976,-42.8,21.2,6.3754,-53.8,21.2,2.0828,-52.8,26.2,4.2164,-21.8,30.2,2.9718,0,0,0,2.2,60.2,3.1242,9.2,63.2,0.8636,-0.8,61.2,2.9972,3.2,58.2,3.1496,-15.8,49.2,0.9906,0,34.2,0.9398,0,18.2,1.4478,163
1977,-52.8,18.2,2.3114,-40.8,25.2,0.889,-47.8,30.2,2.413,0,0,0,0.2,53.2,1.9304,0,0,0,3.2,70.2,1.8288,4.2,60.2,5.0038,0,0,0,0,0,0,0,0,0,0,0,0,61
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,64.2,5.207,-7.8,57.2,3.81,-13.8,48.2,0.9144,-31.8,34.2,5.6388,-59.8,14.2,6.5786,91
1979,-59.8,12.2,3.3782,-52.8,20.2,4.191,-40.8,28.2,4.5974,-26.8,35.2,1.651,-4.8,47.2,1.5494,2.2,60.2,3.7846,13.2,63.2,1.4986,15.2,65.2,6.2484,1.2,59.2,0.4826,-18.8,50.2,3.429,-37.8,26.2,2.1082,-36.8,28.2,1.6764,155
1980,-57.8,20.2,7.874,-42.8,29.2,4.0386,-37.8,25.2,6.858,-29.8,44.2,1.8034,0.2,49.2,7.2644,9.2,55.2,3.4798,14.2,63.2,7.0866,7.2,61.2,5.1562,4.2,56.2,7.4422,-11.8,51.2,0.3048,-24.8,36.2,2.9718,-28.8,25.2,5.2324,137
1981,-24.8,26.2,1.4224,-59.8,26.2,3.556,-24.8,31.2,2.2098,-20.8,41.2,4.2164,-5.8,45.2,11.938,4.2,58.2,10.3378,7.2,62.2,1.6764,8.2,62.2,1.8796,3.2,58.2,4.1148,-4.8,41.2,3.7338,-25.8,36.2,6.8072,-32.8,30.2,6.5024,74
1982,-44.8,17.2,5.5372,-61.8,24.2,3.3782,-31.8,24.2,5.7658,-35.8,36.2,7.0612,-12.8,48.2,3.3528,4.2,57.2,5.0546,12.2,60.2,5.1054,16.2,64.2,4.3688,5.2,55.2,5.4356,-7.8,42.2,3.7846,-32.8,24.2,4.7752,-39.8,20.2,4.8006,168
1983,-37.8,18.2,3.0988,-53.8,26.2,7.8232,-35.8,32.2,4.7498,-33.8,37.2,1.6002,-6.8,50.2,1.905,4.2,57.2,3.9878,8.2,61.2,5.6134,15.2,64.2,4.5212,-15.8,59.2,6.7818,-1.8,41.2,7.1628,-27.8,36.2,5.0038,-59.8,13.2,5.6388,117
1984,0,0,0,-37.8,19.2,1.651,-45.8,23.2,1.2446,-25.8,40.2,2.5654,-16.8,52.2,6.1468,1.2,59.2,3.4798,13.2,61.2,5.0038,13.2,61.2,8.3312,-6.8,54.2,5.7404,-19.8,45.2,2.921,-26.8,26.2,2.0574,-43.8,12.2,2.8194,89
1985,-64.8,14.2,0.9398,-67.8,19.2,3.048,-46.8,28.2,4.318,-24.8,45.2,3.683,-4.8,50.2,6.5532,4.2,60.2,4.1402,2.2,65.2,10.4902,3.2,61.2,6.096,-22.8,48.2,6.4008,-18.8,36.2,2.5654,-36.8,33.2,8.3312,-29.8,17.2,2.2098,109
1986,-30.8,26.2,6.6548,-43.8,30.2,13.4874,-12.8,40.2,5.3086,-34.8,47.2,5.9182,-15.8,57.2,2.4384,0,0,0,6.2,58.2,9.1186,15.2,61.2,6.1722,1.2,52.2,8.636,-11.8,43.2,0.1524,-38.8,28.2,9.1694,-27.8,19.2,0.1524,196
1987,-37.8,21.2,3.7592,-31.8,23.2,2.6924,-35.8,32.2,3.5814,-12.8,47.2,1.0668,4.2,55.2,8.5852,5.2,58.2,4.3434,14.2,61.2,9.3472,6.2,59.2,3.4544,2.2,56.2,0.2794,-9.8,54.2,0.254,-19.8,33.2,1.905,-42.8,18.2,3.4544,84
1988,-52.8,20.2,4.0386,-42.8,30.2,1.397,-41.8,27.2,3.3274,-27.8,45.2,6.604,-8.8,52.2,3.2258,8.2,65.2,4.0132,10.2,67.2,1.3462,8.2,64.2,0.8636,0.2,59.2,2.0066,0.2,52.2,1.524,-31.8,36.2,7.62,-37.8,14.2,1.778,102
1989,-48.8,17.2,4.191,-53.8,24.2,4.0132,-55.8,33.2,8.89,-31.8,43.2,3.683,-3.8,47.2,4.699,6.2,59.2,4.0894,11.2,65.2,2.6162,4.2,68.2,6.1468,0.2,55.2,2.667,-13.8,51.2,3.7084,-23.8,29.2,3.81,-40.8,22.2,2.54,180
1990,-44.8,18.2,4.6482,-49.8,22.2,2.286,-31.8,31.2,1.524,-11.8,41.2,4.0386,-13.8,43.2,3.1496,8.2,61.2,5.4864,16.2,64.2,5.7912,10.2,64.2,5.3086,6.2,60.2,2.7432,-11.8,51.2,4.3688,-21.8,33.2,2.2606,-60.8,26.2,3.937,91
1991,-56.8,13.2,2.2352,-29.8,27.2,1.1176,-40.8,31.2,6.7056,-17.8,31.2,5.4356,-12.8,43.2,11.0998,7.2,54.2,3.3274,12.2,62.2,1.8542,13.2,63.2,3.7592,0.2,62.2,5.3086,-30.8,47.2,4.699,-38.8,26.2,4.2164,-28.8,14.2,1.7272,132
1992,-45.8,24.2,0.9144,-32.8,26.2,3.0988,-26.8,31.2,2.6162,-10.8,44.2,5.6896,1.2,52.2,4.3688,7.2,58.2,11.303,13.2,58.2,6.0706,0.2,62.2,0.635,-1.8,52.2,4.572,-9.8,52.2,4.0386,-26.8,26.2,2.4638,-40.8,17.2,4.6736,102
1993,-43.8,14.2,3.556,-45.8,18.2,3.9116,-42.8,31.2,2.5146,-15.8,31.2,7.747,-3.8,53.2,5.6896,4.2,52.2,9.5758,10.2,56.2,7.366,6.2,56.2,3.0734,1.2,54.2,1.143,-17.8,49.2,2.0828,-37.8,26.2,0.7366,-28.8,23.2,2.3876,127
1994,-38.8,19.2,3.7084,-45.8,25.2,6.2484,-27.8,32.2,1.4224,-19.8,43.2,2.8702,1.2,50.2,7.7724,7.2,59.2,5.7912,5.2,64.2,2.3622,13.2,64.2,4.5974,1.2,57.2,1.7018,-7.8,41.2,4.4704,-32.8,24.2,4.699,-37.8,18.2,5.6642,112
1995,-49.8,19.2,5.0292,-49.8,27.2,2.4638,-34.8,27.2,8.0518,-20.8,30.2,7.0612,-18.8,41.2,3.5052,5.2,54.2,5.6134,9.2,60.2,6.9088,9.2,63.2,6.1214,-5.8,60.2,2.1082,-13.8,43.2,4.3688,-28.8,30.2,6.9088,-35.8,21.2,5.461,152
1996,-53.8,15.2,7.366,-58.8,24.2,3.4798,-37.8,28.2,5.5626,-18.8,35.2,4.572,-9.8,42.2,11.0744,4.2,60.2,3.6322,8.2,63.2,4.0894,-1.8,64.2,2.3368,-3.8,59.2,3.1496,-14.8,51.2,2.5146,-23.8,32.2,8.382,0,0,0,163
1997,-40.8,17.2,5.6388,-46.8,20.2,4.2418,-31.8,30.2,2.8448,-29.8,31.2,3.0226,-8.8,42.2,4.3688,10.2,54.2,6.0706,11.2,59.2,7.7724,12.2,61.2,6.0452,7.2,58.2,6.35,-16.8,50.2,5.7912,-21.8,34.2,1.143,-27.8,20.2,1.7526,185
1998,-27.8,21.2,6.5278,-32.8,25.2,2.3622,-34.8,32.2,4.7752,-13.8,42.2,3.2512,3.2,48.2,6.1722,5.2,51.2,13.3858,16.2,66.2,2.921,14.2,61.2,4.6228,5.2,62.2,5.0038,-2.8,50.2,0.9652,-20.8,29.2,6.9342,-51.8,25.2,3.2512,99
1999,-32.8,18.2,7.7216,-41.8,26.2,7.2898,-41.8,36.2,3.302,-26.8,37.2,3.6068,-13.8,48.2,7.2644,4.2,55.2,10.2108,10.2,61.2,1.6002,14.2,59.2,7.7216,-9.8,51.2,4.1148,-7.8,48.2,1.016,-20.8,40.2,2.9972,-27.8,20.2,6.3246,130
2000,-39.8,21.2,7.0612,-37.8,25.2,5.8928,-34.8,37.2,5.5118,-22.8,43.2,4.1148,-2.8,44.2,9.8298,4.2,57.2,3.9116,14.2,65.2,0,15.2,69.2,2.0828,-6.8,62.2,2.2606,-6.8,42.2,5.207,-27.8,26.2,1.8796,-32.8,19.2,3.7846,117
2001,-41.8,22.2,1.1938,-48.8,20.2,3.7846,-34.8,31.2,4.191,-23.8,41.2,7.112,-12.8,57.2,3.7084,0,0,0,10.2,64.2,4.6736,14.2,66.2,0.9906,2.2,63.2,2.9718,-8.8,52.2,4.2672,-23.8,34.2,4.8514,-28.8,17.2,4.9276,76
2002,-44.8,20.2,5.0038,-48.8,26.2,2.6416,-45.8,31.2,4.826,-13.8,34.2,6.985,-12.8,53.2,4.7498,4.2,62.2,5.7404,14.2,69.2,4.8768,9.2,58.2,2.4892,4.2,59.2,6.9596,-14.8,38.2,2.159,-25.8,28.2,4.1402,-29.8,22.2,2.667,107
2003,-25.8,19.2,5.5372,-56.8,21.2,4.3688,-29.8,33.2,3.429,-26.8,40.2,6.7818,-6.8,60.2,5.3848,3.2,56.2,4.572,16.2,74.2,1.0414,14.2,70.2,2.5654,1.2,63.2,2.1336,-15.8,50.2,3.175,-27.8,24.2,4.0132,-27.8,16.2,4.064,99
2004,-43.8,22.2,5.588,-41.8,21.2,2.4384,-23.8,37.2,3.3528,-10.8,39.2,3.2512,-1.8,46.2,7.8486,6.2,53.2,7.5692,12.2,62.2,4.191,8.2,61.2,9.3218,0.2,55.2,5.9436,-8.8,45.2,5.715,-32.8,34.2,0.7366,-41.8,20.2,3.1242,119
2005,-25.8,28.2,6.35,0,0,0,-22.8,36.2,4.3942,-20.8,39.2,2.286,-8.8,48.2,6.7564,6.2,58.2,8.7122,12.2,67.2,3.2258,7.2,60.2,7.4168,5.2,58.2,4.8768,-4.8,47.2,4.3434,-25.8,34.2,6.7818,-40.8,20.2,5.2832,104
2006,-27.8,23.2,6.6548,-48.8,24.2,2.0574,-38.8,29.2,3.4544,-13.8,42.2,6.1976,-5.8,52.2,4.7244,7.2,60.2,6.604,18.2,67.2,3.048,7.2,63.2,2.9972,6.2,59.2,0.9144,-12.8,47.2,4.2164,-15.8,31.2,4.3434,-29.8,24.2,4.4196,127
2007,-53.8,24.2,2.3876,-43.8,28.2,4.7498,0,0,0,-13.8,44.2,6.5024,2.2,55.2,1.9304,8.2,64.2,1.3716,23.2,67.2,6.35,0,0,0,7.2,62.2,2.2098,-4.8,44.2,0.889,-20.8,27.2,3.2258,-26.8,17.2,5.9182,107
2008,-45.8,18.2,8.2804,-23.8,20.2,8.6868,-27.8,24.2,9.7282,-28.8,38.2,2.921,-6.8,47.2,10.1854,5.2,56.2,8.4582,12.2,63.2,2.159,14.2,69.2,1.0414,6.2,54.2,1.4478,-8.8,52.2,1.397,-26.8,39.2,4.1402,-29.8,17.2,5.715,152
2009,-40.8,19.2,5.4864,-33.8,22.2,3.2004,-28.8,35.2,9.144,-22.8,39.2,8.128,-9.8,52.2,4.6228,9.2,61.2,12.6746,12.2,61.2,3.7084,10.2,65.2,3.2512,5.2,58.2,1.143,-20.8,42.2,5.2324,-23.8,27.2,3.3528,0,0,0,147
2010,-47.8,21.2,4.191,-35.8,21.2,2.1844,-22.8,31.2,5.0546,-22.8,42.2,6.0452,-15.8,44.2,4.7752,8.2,61.2,11.2776,13.2,62.2,1.1938,10.2,64.2,3.5052,3.2,58.2,1.6002,-5.8,58.2,3.2512,-34.8,38.2,9.398,-28.8,17.2,8.5344,104
2011,-34.8,19.2,5.5372,-48.8,25.2,5.1308,-25.8,27.2,7.0358,-14.8,28.2,4.3942,-7.8,39.2,8.6106,0,0,0,16.2,64.2,2.667,13.2,63.2,1.6002,8.2,57.2,2.0828,-4.8,55.2,5.08,-22.8,27.2,5.3594,-33.8,16.2,4.445,175
2012,-32.8,18.2,3.3782,-29.8,15.2,5.7404,-25.8,36.2,7.239,-7.8,45.2,4.7752,-2.8,52.2,4.6482,8.2,63.2,3.3274,22.2,64.2,4.2164,15.2,64.2,0.4572,10.2,56.2,2.9464,-9.8,47.2,4.572,-18.8,35.2,3.2512,-28.8,17.2,8.382,124
2013,-40.8,17.2,3.4544,-36.8,16.2,2.2352,-31.8,33.2,4.8514,-24.8,36.2,5.3086,-8.8,51.2,5.4102,8.2,62.2,2.3876,20.2,64.2,3.0734,20.2,63.2,2.3876,7.2,59.2,9.5504,-5.8,38.2,5.0292,-18.8,30.2,3.4798,-38.8,18.2,3.3782,109
2014,-36.8,15.2,4.2418,-47.8,23.2,5.1816,-21.8,29.2,9.8044,-21.8,35.2,7.2898,-4.8,53.2,4.1402,10.2,51.2,5.3848,13.2,61.2,2.4892,11.2,61.2,12.065,1.2,55.2,5.588,-1.8,45.2,3.1496,-33.8,40.2,3.9878,-37.8,29.2,5.7658,157
2015,-28.8,25.2,4.572,-39.8,27.2,2.0066,-35.8,36.2,1.778,-12.8,39.2,2.667,1.2,44.2,8.4074,15.2,64.2,3.683,12.2,62.2,4.064,12.2,62.2,3.9624,9.2,56.2,5.1562,1.2,49.2,4.5974,-22.8,26.2,4.1402,-27.8,19.2,7.3152,86
2016,-31.8,17.2,3.0988,-28.8,28.2,1.7018,-31.8,29.2,4.7498,-3.8,43.2,2.4384,2.2,46.2,6.4516,12.2,63.2,2.3622,14.2,63.2,2.9972,12.2,62.2,0.3556,10.2,58.2,5.969,-1.8,40.2,14.1224,-14.8,40.2,2.8194,-40.8,12.2,6.7056,102
2017,-44.8,18.2,5.334,-30.8,24.2,13.4366,-15.8,36.2,6.1468,-8.8,38.2,7.5946,2.2,47.2,2.3622,10.2,58.2,5.2324,19.2,64.2,4.3688,19.2,61.2,2.3876,9.2,63.2,11.811,-3.8,41.2,0.6604,-16.8,32.2,10.9728,-30.8,19.2,4.7752,157
2018,-28.8,19.2,4.7244,-43.8,16.2,6.6548,-25.8,31.2,4.8768,-25.8,43.2,8.001,2.2,50.2,8.7122,8.2,56.2,11.9126,13.2,62.2,1.8034,13.2,68.2,3.5306,5.2,56.2,0.5334,-13.8,46.2,3.4036,-22.8,24.2,5.7912,-23.8,22.2,3.175,142
2019,-34.8,17.2,6.096,-41.8,17.2,9.5758,-38.8,36.2,2.794,-8.8,37.2,7.3406,-9.8,44.2,4.9784,5.2,55.2,5.6388,18.2,61.2,2.0828,14.2,62.2,4.318,6.2,60.2,7.2898,-26.8,39.2,4.2418,-17.8,30.2,2.8956,-27.8,20.2,2.9718,152
2020,-28.8,14.2,6.2738,-35.8,20.2,4.2418,-23.8,31.2,6.604,-26.8,39.2,5.3848,3.2,56.2,5.2578,8.2,56.2,4.1402,15.2,60.2,1.27,15.2,67.2,0.9144,17.2,67.2,0.9144,-26.8,49.2,3.7338,-19.8,37.2,5.207,-21.8,22.2,3.4036,137
