model_name,term,edf,ref.df,statistic,p.value,dev_exp,log_likelihood,aic
1,s(AprTempSum),1.0,1.1,0.07,0.822,44.0%,-217,450
1,s(AprMax),1.0,1.0,4.29,0.044,44.0%,-217,450
1,s(MayMin),1.0,1.0,4.43,0.041,44.0%,-217,450
1,s(DecTempSum),1.8,2.2,3.50,0.033,44.0%,-217,450
1,s(MayTempSum),1.0,1.0,1.63,0.208,44.0%,-217,450
2,s(AprMax),1.0,1.0,14.61,0.000,43.4%,-221,456
2,s(MayMin),1.0,1.0,5.50,0.023,43.4%,-221,456
2,s(DecTempSum),1.8,2.2,3.92,0.022,43.4%,-221,456
2,s(MayTempSum),1.0,1.0,2.09,0.155,43.4%,-221,456
3,s(AprMax),1.0,1.0,12.46,0.001,40.7%,-222,456
3,s(MayMin),1.0,1.0,3.53,0.066,40.7%,-222,456
3,s(DecTempSum),1.6,2.0,3.43,0.038,40.7%,-222,456
4,s(AprMax),1.0,1.0,13.59,0.001,50.9%,-217,456
4,s(MayMin),1.0,1.0,6.79,0.012,50.9%,-217,456
4,s(DecTempSum),1.9,2.4,3.78,0.021,50.9%,-217,456
4,s(MayTempSum),1.4,1.6,1.55,0.153,50.9%,-217,456
4,s(SpringSnow),2.3,2.9,1.40,0.216,50.9%,-217,456
5,s(AprMax),1.0,1.0,10.65,0.002,45.5%,-220,457
5,s(MayMin),1.0,1.0,3.41,0.071,45.5%,-220,457
5,s(DecTempSum),1.8,2.2,3.20,0.040,45.5%,-220,457
5,s(SpringSnow),2.0,2.5,0.99,0.352,45.5%,-220,457